full_name,email,position,health_discount_amount,social_discount_amount,taxes_discount_amount,other_discount_amount,gross_salary,gross_payment,net_payment,period
John Doe,john.doe@example.com,Software Engineer,150.00,100.00,200.00,50.00,5000.00,5000.00,4500.00,2025-09
Jane Smith,jane.smith@example.com,Project Manager,200.00,150.00,250.00,100.00,7000.00,7000.00,6250.00,2025-09
Bob Johnson,bob.johnson@example.com,QA Analyst,100.00,75.00,150.00,25.00,4000.00,4000.00,3650.00,2025-09
Alice Williams,alice.williams@example.com,UX Designer,120.00,90.00,180.00,30.00,4500.00,4500.00,4080.00,2025-09
Michael Brown,michael.brown@example.com,DevOps Engineer,180.00,130.00,220.00,70.00,6000.00,6000.00,5400.00,2025-09
Emily Davis,emily.davis@example.com,Data Analyst,110.00,80.00,160.00,40.00,4800.00,4800.00,4410.00,2025-09
David Wilson,david.wilson@example.com,Backend Developer,140.00,100.00,200.00,60.00,5200.00,5200.00,4700.00,2025-09
Sophia Martinez,sophia.martinez@example.com,Frontend Developer,130.00,90.00,170.00,50.00,5000.00,5000.00,4560.00,2025-09
James Taylor,james.taylor@example.com,Product Owner,210.00,160.00,260.00,90.00,7500.00,7500.00,6780.00,2025-09
Olivia Anderson,olivia.anderson@example.com,HR Specialist,100.00,70.00,150.00,20.00,4200.00,4200.00,3860.00,2025-09
